nome,custo,codigo,estoque
"SKU: 559 - Apple Watch Ultra (2022, 1ª Geração) 49mm (GPS + Cellular)",2700,,1
"SKU: 586 - Apple Watch Ultra (2022, 1ª Geração) 49mm (GPS + Cellular)",2550,,1
"SKU: 178 - Apple Watch Ultra (2024, 2ª Geração) 49mm (GPS + Cellular)",3360,,1
SKU: 500 - Cabo Apple USB-C - USB-C,23,,4
SKU: 155 - Cabo Baseus USB-C - USB-C,50,,1
SKU: 157 - Cabo Kingo USB-C - Lightning,18,,6
SKU: 301 - Cabo Kingo USB-C - USB-C,18,,2
SKU: 153 - Cabo Kingo USB - Lightning,8,,4
SKU: 599 - Cabo Turbo Type-C - Type-C Peining,"8,5",,10
SKU: 600 - Cabo Turbo USB - Type-C Peining,"6,5",,10
"SKU: 498 - Caixa de Som Aiwa Boombox Plus,",1368,,1
"SKU: 609 - Caixa de Som Aiwa Boombox Plus,",1222,,1
SKU: 244 - Caixa de Som JBL Boombox 3 Preta,1877,,1
SKU: 375 - Caixa de Som JBL Flip 7 - Preta,616,,1
"SKU: 383 - Caixa de Som JBL Go 4 - Preta, -JO0694902",214,,1
SKU: 452 - Caixa de Som JBL PartyBox Encore 2 - C/ 2 Mic,1709,,1
SKU: 603 - Capa com Teclado para iPad Preta,110,,1
SKU: 604 - Capa para iPad,38,,3
SKU: 215 - Carregador Apple 20w,110,,3
SKU: 230 - Carregador Apple 20w,126,,11
SKU: 319 - Carregador Apple 20w,101,,5
SKU: 158 - Carregador Apple Carro,20,,1
SKU: 150 - Carregador Baseus 20w,60,,2
SKU: 161 - Carregador Kingo 33w,28,,3
SKU: 300 - Carregador Kingo USB-C 20w,26,,4
SKU: 594 - Carregador Portátil 10000mAh Peining,83,WUP-1009,1
SKU: 602 - Carregador Portátil 10000mAh Peining,65,WUP-758,2
SKU: 595 - Carregador Portátil 5000mAh Peining,73,WUP-1008,2
SKU: 601 - Carregador Turbo 3.0 USB Peining,12,PEI-QC501,3
SKU: 199 - Console Sony Playstation 4 - Slim,1300,,1
"SKU: 342 - Echo Amazon Show 5,",416,,1
SKU: 392 - Emulador Game Console R36S 64GB,150,,4
SKU: 386 - Fone de Ouvido JBL Tune 720 BT - White,265,,1
SKU: 596 - Fone de Ouvido Peining,35,PEI-P81*,2
SKU: 598 - Fone de Ouvido Touch Peining,45,PEI-P666,2
SKU: 462 - Hub USB Ugreen,0,CM478,1
"SKU: 263 - iPad 10 (2022) 10,9"" Wi-Fi 64GB - Blue",2255,,1
"SKU: 14 - iPhone 11 128GB - Black, IMEI1: 356552107029951 - Seminovo, Saúde da bateria: 77%",1502,9951,1
"SKU: 224 - iPhone 11 128GB - Black, IMEI1: 352905116354022 - Seminovo, Saúde da bateria: 82%",1300,4022,1
"SKU: 416 - iPhone 11 128GB - Black, IMEI1: 355125538668068, IMEI2: 355125538573938, SN: SDV6GF11SN73D - Seminovo, Saúde da bateria: 80%",1300,8068,1
"SKU: 477 - iPhone 11 128GB - Black, IMEI1: 357593320621371 - Seminovo, Saúde da bateria: 71%",1100,1371,1
"SKU: 549 - iPhone 11 128GB - Black, IMEI1: 351563858202833 - Seminovo, Saúde da bateria: 84%",1090,2833,1
"SKU: 70 - iPhone 11 128GB - Red, IMEI1: 351039491062595 - Seminovo, Saúde da bateria: 80%",1500,2595,1
"SKU: 554 - iPhone 11 128GB - Red, IMEI1: 356816115261231 - Seminovo, Saúde da bateria: 73%",1200,1231,1
"SKU: 613 - iPhone 11 128GB - Red, IMEI1: 358891507086817 - Seminovo, Saúde da bateria: 77%",1400,6817,1
"SKU: 28 - iPhone 11 128GB - White, IMEI1: 352902115594997 - Seminovo, Saúde da bateria: 80%",1590,4997,1
"SKU: 56 - iPhone 11 64GB - Black, IMEI1: 350160480169786 - Seminovo, Saúde da bateria: 77%",1050,9786,1
"SKU: 491 - iPhone 11 64GB - Black, IMEI1: 356554106620988 - Seminovo, Saúde da bateria: 91%",1850,0988,1
"SKU: 611 - iPhone 11 64GB - Black, IMEI1: 353998102901194 - Seminovo, Saúde da bateria: 73%",1100,1194,1
"SKU: 464 - iPhone 11 64GB - Red, IMEI1: 356556104565644 - Seminovo, Saúde da bateria: 77%",900,5644,1
"SKU: 353 - iPhone 11 64GB - White, IMEI1: 352893110534353 - Seminovo, Saúde da bateria: 75%",1300,4353,1
"SKU: 516 - iPhone 11 64GB - White, IMEI1: 352985115633840 - Seminovo, Saúde da bateria: 100%",1200,3840,1
"SKU: 550 - iPhone 11 64GB - White, IMEI1: 356801111965829 - Seminovo, Saúde da bateria: 87%",1100,5829,1
"SKU: 605 - iPhone 11 64GB - White, IMEI1: 359707313520014 - Seminovo, Saúde da bateria: 82%",1100,0014,1
"SKU: 612 - iPhone 11 64GB - White, IMEI1: 358981875081639, IMEI2: 358981875234469, SN: SDV6F700UN736 - Seminovo, Saúde da bateria: 72%",900,1639,1
"SKU: 510 - iPhone 11 Pro Max 256GB - Midnight Green, IMEI1: 352848111027096 - Seminovo, Saúde da bateria: 84%",1500,7096,1
"SKU: 463 - iPhone 11 Pro Max 64GB - Midnight Green, IMEI1: 353891108939518 - Seminovo, Saúde da bateria: 77%",1450,9518,1
"SKU: 556 - iPhone 12 128GB - Black, IMEI1: 352023217538897 - Seminovo, Saúde da bateria: 83%",1880,8897,1
"SKU: 7 - iPhone 12 128GB - Blue, IMEI1: 356599140066656 - Seminovo, Saúde da bateria: 78%",1565,6656,1
"SKU: 361 - iPhone 12 128GB - White, IMEI1: 353361733652944 - Seminovo, Saúde da bateria: 79%",1300,2944,1
"SKU: 41 - iPhone 12 256GB - Blue, IMEI1: 353054116797820 - Seminovo, Saúde da bateria: 100%",1800,7820,1
"SKU: 10 - iPhone 12 64GB - Black, IMEI1: 353041112207474 - Seminovo, Saúde da bateria: 76%",1306,7474,1
"SKU: 31 - iPhone 12 64GB - Blue, IMEI1: 357158810404173 - Seminovo, Saúde da bateria: 81%",1200,4173,1
"SKU: 478 - iPhone 12 Pro 128GB - Graphite, IMEI1: 356462520294671 - Seminovo, Saúde da bateria: 81%",2400,4671,1
"SKU: 42 - iPhone 12 Pro 128GB - Pacific Blue, IMEI1: 356692118147721 - Seminovo, Saúde da bateria: 77%",2100,7721,1
"SKU: 585 - iPhone 12 Pro 256GB - Gold, IMEI1: 356961130780532 - Seminovo, Saúde da bateria: 77%",2000,0532,1
"SKU: 17 - iPhone 12 Pro 256GB - Graphite, IMEI1: 356680110867800 - Seminovo, Saúde da bateria: 78%",1938,7800,1
"SKU: 267 - iPhone 12 Pro Max 128GB - Pacific Blue, IMEI1: 356714116775210 - Seminovo, Saúde da bateria: 79%",2312,5210,1
"SKU: 551 - iPhone 12 Pro Max 128GB - Pacific Blue, IMEI1: 356713113072464 - Seminovo, Saúde da bateria: 77%",2300,2464,1
"SKU: 553 - iPhone 12 Pro Max 128GB - Pacific Blue, IMEI1: 353541324651302 - Seminovo, Saúde da bateria: 85%",2450,1302,1
"SKU: 622 - iPhone 12 Pro Max 128GB - Pacific Blue, IMEI1: 353730398059050 - Seminovo, Saúde da bateria: 78%",2400,9050,1
"SKU: 621 - iPhone 12 Pro Max 128GB - Silver, IMEI1: 359173736909484 - Seminovo, Saúde da bateria: 77%",2400,9484,1
"SKU: 560 - iPhone 12 Pro Max 256GB - Gold, IMEI1: 351572597267262, IMEI2: 351572597356495, SN: SF2LF92710D45 - Seminovo, Saúde da bateria: 79%",2150,7262,1
"SKU: 377 - iPhone 12 Pro Max 256GB - Graphite, IMEI1: 353167660910092 - Seminovo, Saúde da bateria: 82%",2700,0092,1
"SKU: 204 - iPhone 13 128GB - Blue, IMEI1: 358891507086817 - Seminovo, Saúde da bateria: 87%",1900,6817,1
"SKU: 610 - iPhone 13 128GB - Blue, IMEI1: 357774338833113 - Seminovo, Saúde da bateria: 76%",2250,3113,1
"SKU: 291 - iPhone 13 128GB - Green, IMEI1: 352615453063801 - Seminovo, Saúde da bateria: 87%",2000,3801,1
"SKU: 39 - iPhone 13 128GB - Midnight, IMEI1: 356199671802742 - Seminovo, Saúde da bateria: 77%",2500,2742,1
"SKU: 40 - iPhone 13 128GB - Midnight, IMEI1: 351055804000155 - Seminovo, Saúde da bateria: 85%",2700,0155,1
"SKU: 46 - iPhone 13 128GB - Midnight, IMEI1: 354300901452637 - Seminovo, Saúde da bateria: 79%",2500,2637,1
"SKU: 48 - iPhone 13 128GB - Midnight, IMEI1: 350980296692527 - Seminovo, Saúde da bateria: 79%",2500,2527,1
"SKU: 524 - iPhone 13 128GB - Midnight, IMEI1: 351309649778149 - Seminovo, Saúde da bateria: 80%",1850,8149,1
"SKU: 619 - iPhone 13 128GB - Midnight, IMEI1: 352585500072354 - Seminovo, Saúde da bateria: 88%",2000,2354,1
"SKU: 487 - iPhone 13 128GB - Starlight, IMEI1: 357032764115830 - Seminovo, Saúde da bateria: 78%",1900,5830,1
"SKU: 484 - iPhone 13 Pro 128GB - Graphite, IMEI1: 356024611187162 - Seminovo, Saúde da bateria: 81%",2700,7162,1
"SKU: 293 - iPhone 13 Pro Max 128GB - Gold, IMEI1: 359272535936654 - Seminovo, Saúde da bateria: 80%",3600,6654,1
"SKU: 362 - iPhone 13 Pro Max 128GB - Gold, IMEI1: 356985725943171 - Seminovo, Saúde da bateria: 91%",3750,3171,1
"SKU: 555 - iPhone 13 Pro Max 128GB - Graphite, IMEI1: 350019041936366 - Seminovo, Saúde da bateria: 78%",2750,6366,1
"SKU: 552 - iPhone 13 Pro Max 128GB - Silver, IMEI1: 359272539475964 - Seminovo, Saúde da bateria: 85%",3500,5964,1
"SKU: 521 - iPhone 13 Pro Max 256GB - Alpine Green, IMEI1: 350019045246390, IMEI2: 350019045067374, SN: SLNY99RX5T9 - Seminovo, Saúde da bateria: 84%",3000,6390,1
"SKU: 608 - iPhone 13 Pro Max 256GB - Graphite, IMEI1: 355387493771135 - Seminovo, Saúde da bateria: 85%",1540,1135,1
"SKU: 620 - iPhone 13 Pro Max 256GB - Graphite, IMEI1: 354786255544757 - Seminovo, Saúde da bateria: 74%",2750,4757,1
"SKU: 589 - iPhone 13 Pro Max 256GB - Silver, IMEI1: 356370165167500, IMEI2: 356370165651636, SN: SY63QWP9MVD - Seminovo, Saúde da bateria: 83%",3350,7500,1
"SKU: 513 - iPhone 14 128GB - Midnight, IMEI1: 357589736449241, IMEI2: 357589735922123, SN: SL6XXK7V4DK - Seminovo, Saúde da bateria: 83%",2400,9241,1
"SKU: 547 - iPhone 14 128GB - Midnight, IMEI1: 351048912826264 - Seminovo, Saúde da bateria: 86%",2600,6264,1
"SKU: 582 - iPhone 14 256GB - Midnight, IMEI1: 359862147684823 - Seminovo, Saúde da bateria: 77%",2400,4823,1
"SKU: 520 - iPhone 14 Pro 128GB - Gold, IMEI1: 358996918314666 - Seminovo, Saúde da bateria: 81%",3350,4666,1
"SKU: 329 - iPhone 14 Pro 128GB - Space Black, IMEI1: 358996915757899 - Seminovo, Saúde da bateria: 87%",3350,7899,1
"SKU: 236 - iPhone 14 Pro 256GB - Space Black, IMEI1: 357712763882536, IMEI2: 357712763868485, SN: SHV7XMY52XQ - Seminovo, Saúde da bateria: 84%",3700,2536,1
"SKU: 269 - iPhone 14 Pro 256GB - Space Black, IMEI1: 353294700523048 - Seminovo, Saúde da bateria: 84%",3850,3048,1
"SKU: 335 - iPhone 14 Pro Max 256GB - Deep Purple, IMEI1: 351446983806928, IMEI2: 351446982501769, SN: SKC7D60NCFM - Seminovo, Saúde da bateria: 85%",3920,6928,1
"SKU: 526 - iPhone 14 Pro Max 256GB - Deep Purple, IMEI1: 353885663671342 - Seminovo, Saúde da bateria: 84%",4200,1342,1
"SKU: 365 - iPhone 14 Pro Max 256GB - Space Black, IMEI1: 357828284928747 - Seminovo, Saúde da bateria: 88%",3750,8747,1
"SKU: 389 - iPhone 15 128GB - Black, IMEI1: 353850627332530, IMEI2: 353850628282338, SN: SL0405VX6ND - Seminovo, Saúde da bateria: 88%",3400,2530,1
"SKU: 583 - iPhone 15 128GB - Black, IMEI1: 351698473346753 - Seminovo, Saúde da bateria: 89%",2850,6753,1
"SKU: 571 - iPhone 15 128GB - Blue, IMEI1: 357395869142656, IMEI2: 357395869993710, SN: SGPMKF76MGF - Seminovo, Saúde da bateria: 91%",3200,2656,1
"SKU: 343 - iPhone 15 128GB - Pink, IMEI1: 357395867863493 - Seminovo, Saúde da bateria: 99%",4080,3493,1
"SKU: 570 - iPhone 15 256GB - Black, IMEI1: 351433054811235, IMEI2: 351433054939598, SN: SLWNMFW569X - Seminovo, Saúde da bateria: 89%",3550,1235,1
"SKU: 579 - iPhone 15 Pro 128GB - Black Titanium, IMEI1: 354078642275836 - Seminovo, Saúde da bateria: 100%",4050,5836,1
"SKU: 580 - iPhone 15 Pro 256GB - Natural Titanium, IMEI1: 358348188220983 - Seminovo, Saúde da bateria: 81%",4050,0983,1
"SKU: 584 - iPhone 15 Pro 256GB - Natural Titanium, IMEI1: 353431658578372 - Seminovo, Saúde da bateria: 89%",4700,8372,1
"SKU: 617 - iPhone 15 Pro Max 256GB - Natural Titanium, IMEI1: 354633448881318, IMEI2: 354633448569483, SN: SF72K92NH9F - Seminovo, Saúde da bateria: 86%",4800,1318,1
"SKU: 623 - iPhone 15 Pro Max 256GB - Natural Titanium, IMEI1: 351016861501352, IMEI2: 351016861838523, SN: SFF6V12JG60 - Seminovo, Saúde da bateria: 87%",4800,1352,1
"SKU: 624 - iPhone 16 Pro Max 256GB - Titânio natural, IMEI1: 355445523398400, IMEI2: 355445528633751, SN: SD2417H9F70 - Seminovo, Saúde da bateria: 98%",5800,8400,1
"SKU: 490 - iPhone 7 128GB - Silver, IMEI1: 359464088957613 - Seminovo, Saúde da bateria: 75%",400,7613,1
"SKU: 38 - iPhone 8 64GB - Gold, IMEI1: 356763081922968 - Seminovo, Saúde da bateria: 100%",500,2968,1
"SKU: 446 - iPhone 8 Plus 64GB - Red, IMEI1: 356109099468133 - Seminovo, Saúde da bateria: 67%",400,8133,1
"SKU: 210 - iPhone 8 Plus 64GB - Space Gray, IMEI1: 356772088280049 - Seminovo, Saúde da bateria: 100%",800,0049,1
"SKU: 618 - iPhone 8 Plus 64GB - Space Gray, IMEI1: 358631091719872 - Seminovo, Saúde da bateria: 76%",500,9872,1
"SKU: 84 - iPhone X 64GB - Silver, IMEI1: 354839097994845 - Seminovo, Saúde da bateria: 71%",700,4845,1
"SKU: 328 - iPhone XR 128GB - Black, IMEI1: 357369090221878 - Seminovo, Saúde da bateria: 81%",900,1878,1
"SKU: 35 - iPhone XR 128GB - White, IMEI1: 356429105615125 - Seminovo, Saúde da bateria: 82%",1165,5125,1
"SKU: 394 - iPhone XR 128GB - White, IMEI1: 357350099658542 - Seminovo, Saúde da bateria: 77%",950,8542,1
"SKU: 34 - iPhone XR 64GB - Black, IMEI1: 357356090768909 - Seminovo, Saúde da bateria: 80%",983,8909,1
"SKU: 507 - iPhone XR 64GB - Black, IMEI1: 356455107960474 - Seminovo, Saúde da bateria: 75%",975,0474,1
"SKU: 508 - iPhone XR 64GB - Black, IMEI1: 356452108779789 - Seminovo, Saúde da bateria: 79%",975,9789,1
"SKU: 398 - iPhone XR 64GB - Red, IMEI1: 352887118271935 - Seminovo, Saúde da bateria: 77%",800,1935,1
"SKU: 436 - iPhone XR 64GB - White, IMEI1: 356434102963098 - Seminovo, Saúde da bateria: 100%",1150,3098,1
SKU: 121 - Magic Mouse 2 - Branco,550,,1
SKU: 122 - Magic Mouse 2 - Branco,550,,1
SKU: 461 - Peining AirTag,18,,3
SKU: 458 - Peining Cabo USB-C - Lightning,5,,7
SKU: 460 - Peining Carregador 20w,15,,6
SKU: 459 - Peining Carregador 20w,22,,12
SKU: 454 - Peining Carregador Portátil WUP-760 5000mAh,45,,1
SKU: 456 - Peining Carregador Sem Fio 15w,25,,13
SKU: 457 - Peining Carregador Veicular 45w,15,,7
SKU: 616 - Pencil Baseus,132,,4
SKU: 152 - Powerbank Kaidi KNC8882 2000mAh,90,,1
"SKU: 607 - Samsung Galaxy A05s 128GB Preto,",539,,1
"SKU: 115 - Smartphone Infinix Smart 9,",559,,1
SKU: 412 - Smartphone Poco M7 PRO 256/8gb Prata,1150,,1
"SKU: 312 - Smartphone Realme C61 4GB/128GB - Verde,",710,,1
SKU: 527 - Smartphone Samsung Galaxy A06 128gb - Branco,521,,1
"SKU: 93 - Smartphone Samsung Galaxy A16 128gb,",850,,1
"SKU: 94 - Smartphone Samsung Galaxy A16 256gb,",980,,1
"SKU: 592 - Smartphone Samsung Galaxy A16 256GB,",859,,1
"SKU: 528 - Smartphone Samsung Galaxy A56 128gb 5G - Preto,",1603,,1
SKU: 367 - Smartphone Xiaomi Redmi 13C 128/6GB - Preto,680,,1
SKU: 101 - Smartphone Xiaomi Redmi 13C 256gb,913,,1
SKU: 282 - Smartphone Xiaomi Redmi 13C 256GB - Branco,700,,1
"SKU: 104 - Smartphone Xiaomi Redmi 14C 256/8,",735,,1
"SKU: 106 - Smartphone Xiaomi Redmi 14C 256/8,",735,,1
"SKU: 107 - Smartphone Xiaomi Redmi 14C 256/8,",735,,1
SKU: 314 - Smartphone Xiaomi Redmi 14C 256/8 blue,880,,1
SKU: 569 - Smartphone Xiaomi Redmi 15 256/8,945,,1
SKU: 563 - Smartphone Xiaomi Redmi A5 128/4GB,530,,1
SKU: 564 - Smartphone Xiaomi Redmi A5 128/4GB,530,,1
"SKU: 112 - Smartphone Xiaomi Redmi Note 14 128/6GB,",903,,1
SKU: 567 - Smartphone Xiaomi Redmi Note 14 128/6GB,845,,1
SKU: 512 - Smartphone Xiaomi Redmi Note 14 256GB/8GB,977,,1
SKU: 519 - Smartphone Xiaomi Redmi Note 14 256GB/8GB,997,,1
SKU: 591 - Smartphone Xiaomi Redmi Note 14 256GB/8GB,870,,1
SKU: 411 - Smartphone Xiaomi Redmi Note 14 256GB/8GB PRETO,1037,,1
SKU: 413 - Smartphone Xiaomi Redmi Note 14 256GB/8GB PRETO,1000,,1
SKU: 414 - Smartphone Xiaomi Redmi Note 14 256GB/8GB PRETO,1027,,1
SKU: 391 - Smartphone Xiaomi Redmi Note 14 256GB/8GB - Verde,1016,,1
SKU: 415 - Smartphone Xiaomi Redmi Note 14 256GB/8GB VERDE,994,,1
SKU: 279 - Smartphone Xiaomi Redmi Note 14 Pro 256GB - Azul,1427,,1
SKU: 573 - Smartphone Xiaomi Redmi Note 14 Pro 5G,1540,,1
SKU: 572 - Smartphone Xiaomi Redmi Note 14S 256GB/8GB,1180,,1
SKU: 102 - Smartphone Xiaomi Redmi note 9s 64gb,550,,1
SKU: 100 - Smartphone Xiaomi Xiaomi 11 Lite 128gb,600,,1
SKU: 99 - Smartphone Xiaomi Xiaomi 12 Lite,950,,1
SKU: 167 - Smartwatch Microwear Ultra 3,200,,3
"SKU: 430 - Smartwatch Microwear Ultra 3 AI 5G,",282,,1
"SKU: 431 - Smartwatch Microwear Ultra 3 AI 5G,",283,,1
SKU: 168 - Smartwatch Microwear W29 Pro,170,,1
SKU: 400 - Switch Nintendo Oled Desbloqueado,1700,,1
SKU: 305 - Tablet Xiaomi Redmi Pad SE 128gb - Verde,1015,,1
"SKU: 228 - Xbox One S Xbox 1 TB,",1200,,1
